Date,EPS 
2016-12-31,0.48
2016-9-30,2.35
2016-6-30,1.08
2016-3-31,0.04
2015-12-31,0.37
2015-9-30,2.3
2015-6-30,1.1
2015-3-31,0.14
2014-12-31,0.04
2014-9-30,2.2
2014-6-30,1.19
2014-3-31,0.14
2013-12-31,0.22
2013-9-30,2.04
2013-6-30,1.18
2013-3-31,0.22
2012-12-31,0.2
2012-9-30,2.21
2012-6-30,1.11
2012-3-31,-0.08
2011-12-31,0.11
2011-9-30,2.32
2011-6-30,0.79
2011-3-31,-0.14
2010-12-31,0.04
2010-9-30,2.14
2010-6-30,1.07
2010-3-31,-0.06
2009-12-31,-0.3
2009-9-30,1.84
2009-6-30,0.68
2009-3-31,-1.55
2008-12-31,-0.39
2008-9-30,1.5
2008-6-30,1.33
2008-3-31,-0.04
2007-12-31,0.02
2007-9-30,2.07
2007-6-30,0.78
2007-3-31,0.16
2006-12-31,0.17
2006-9-30,1.84
2006-6-30,1.13
2006-3-31,0.13
2005-12-31,0.2
2005-9-30,1.05
2005-6-30,0.28
2005-3-31,0.27
2004-12-31,0.37
2004-9-30,1.15
