Date,EPS 
2016-12-31,0.69
2016-9-30,4.07
2016-6-30,2.04
2016-3-31,2.93
2015-12-31,1.61
2015-9-30,3.16
2015-6-30,3.03
2015-3-31,4.37
2014-12-31,-2.64
2014-9-30,0.99
2014-6-30,2.22
2014-3-31,2.59
2013-12-31,-1.106
2013-9-30,2.167
2013-6-30,-1.12
2013-3-31,-1.58
2012-12-31,-0.39
2012-9-30,-1.34
2012-6-30,4.69
2012-3-31,-2.03
2011-12-31,1.27
2011-9-30,3.18
2011-6-30,1.58
2011-3-31,1.1
2010-12-31,0.0
2010-9-30,2.46
2010-6-30,1.7
2010-3-31,1.15
2009-12-31,3.91
2009-9-30,2.35
2009-6-30,1.25
2009-3-31,0.01
2008-12-31,-3.8
2008-9-30,-0.25
2008-6-30,1.32
2008-3-31,0.18
2007-12-31,1.75
2007-9-30,1.88
2007-6-30,1.8
2007-3-31,2.18
2006-12-31,1.88
2006-9-30,2.38
2006-6-30,0.89
2006-3-31,1.38
2005-12-31,0.8
2005-9-30,2.59
2005-6-30,1.48
2005-3-31,1.49
2004-12-31,0.64
2004-9-30,1.08
