Date,EPS 
2016-12-31,2.03
2016-9-30,1.78
2016-6-30,1.61
2016-3-31,1.39
2015-12-31,1.75
2015-9-30,1.58
2015-6-30,1.52
2015-3-31,1.23
2014-12-31,1.64
2014-9-30,1.34
2014-6-30,1.26
2014-3-31,1.01
2013-12-31,1.41
2013-9-30,1.34
2013-6-30,1.2
2013-3-31,0.94
2012-12-31,1.22
2012-9-30,1.18
2012-6-30,0.77
2012-3-31,0.73
2011-12-31,0.96
2011-9-30,0.69
2011-6-30,0.77
2011-3-31,0.87
2010-12-31,0.71
2010-9-30,1.07
2010-6-30,0.36
2010-3-31,0.21
2009-12-31,0.69
2009-9-30,1.03
2009-6-30,0.8
2009-3-31,0.95
2008-12-31,0.72
2008-9-30,0.42
2008-6-30,0.4
2008-3-31,2.63
2007-12-31,0.6
2007-9-30,0.51
2007-6-30,0.08
2007-3-31,-0.03
2006-12-31,-0.62
2006-9-30,-0.04
2006-6-30,0.55
2006-3-31,0.48
2005-12-31,0.51
2005-9-30,0.62
2005-6-30,0.47
2005-3-31,0.38
2004-12-31,0.46
2004-9-30,0.38
