Date,EPS 
2016-12-31,0.91
2016-9-30,1.59
2016-6-30,1.38
2016-3-31,1.04
2015-12-31,1.43
2015-9-30,1.69
2015-6-30,1.59
2015-3-31,0.99
2014-12-31,0.21
2014-9-30,1.57
2014-6-30,1.41
2014-3-31,0.9
2013-12-31,1.22
2013-9-30,1.35
2013-6-30,1.19
2013-3-31,0.77
2012-12-31,1.05
2012-9-30,1.47
2012-6-30,0.91
2012-3-31,0.67
2011-12-31,0.93
2011-9-30,1.1
2011-6-30,0.77
2011-3-31,0.48
2010-12-31,0.71
2010-9-30,0.74
2010-6-30,0.56
2010-3-31,0.23
2009-12-31,0.15
2009-9-30,0.43
2009-6-30,0.41
2009-3-31,0.12
2008-12-31,0.2
2008-9-30,1.24
2008-6-30,1.09
2008-3-31,0.96
2007-12-31,1.23
2007-9-30,1.11
2007-6-30,1.07
2007-3-31,0.84
2006-12-31,1.07
2006-9-30,1.06
2006-6-30,1.13
2006-3-31,0.77
2005-12-31,0.92
2005-9-30,0.98
2005-6-30,0.98
2005-3-31,0.64
2004-12-31,0.95
2004-9-30,0.83
