Date,EPS 
2016-12-31,1.21
2016-9-30,3.21
2016-6-30,1.06
2016-3-31,0.46
2015-12-31,0.94
2015-9-30,1.03
2015-6-30,0.84
2015-3-31,0.2
2014-12-31,0.5
2014-9-30,2.19
2014-6-30,0.62
2014-3-31,0.12
2013-12-31,0.03
2013-9-30,1.65
2013-6-30,0.11
2013-3-31,0.35
2012-12-31,-1.81
2012-9-30,1.68
2012-6-30,-0.02
2012-3-31,0.21
2011-12-31,0.17
2011-9-30,1.82
2011-6-30,0.43
2011-3-31,0.36
2010-12-31,0.14
2010-9-30,1.61
2010-6-30,0.25
2010-3-31,0.4
2009-12-31,0.01
2009-9-30,1.07
2009-6-30,-0.16
2009-3-31,-0.17
2008-12-31,0.01
2008-9-30,1.92
2008-6-30,0.4
2008-3-31,0.35
2007-12-31,0.33
2007-9-30,1.84
2007-6-30,0.6
2007-3-31,0.04
2006-12-31,0.22
2006-9-30,1.63
2006-6-30,0.57
2006-3-31,0.55
2005-12-31,-0.04
2005-9-30,1.64
2005-6-30,0.72
2005-3-31,0.86
2004-12-31,-0.13
2004-9-30,1.26
