Date,EPS 
2016-12-31,0.22
2016-9-30,0.24
2016-6-30,0.2
2016-3-31,0.2
2015-12-31,0.2
2015-9-30,0.18
2015-6-30,0.2
2015-3-31,0.16
2014-12-31,0.15
2014-9-30,0.22
2014-6-30,0.21
2014-3-31,0.22
2013-12-31,0.13
2013-9-30,0.2
2013-6-30,0.18
2013-3-31,0.23
2012-12-31,0.18
2012-9-30,0.21
2012-6-30,0.2
2012-3-31,0.11
2011-12-31,-0.48
2011-9-30,0.08
2011-6-30,0.04
2011-3-31,0.01
2010-12-31,0.04
2010-9-30,-0.17
2010-6-30,-0.28
2010-3-31,-0.21
2009-12-31,-0.56
2009-9-30,-0.37
2009-6-30,-0.28
2009-3-31,0.04
2008-12-31,-8.98
2008-9-30,0.11
2008-6-30,0.3
2008-3-31,0.48
2007-12-31,0.11
2007-9-30,0.56
2007-6-30,0.63
2007-3-31,0.45
2006-12-31,0.51
2006-9-30,0.77
2006-6-30,0.75
2006-3-31,0.64
2005-12-31,0.55
2005-9-30,0.55
2005-6-30,0.53
2005-3-31,0.51
2004-12-31,0.48
2004-9-30,0.55
