Date,EPS 
2016-12-31,0.6
2016-9-30,0.62
2016-6-30,0.21
2016-3-31,0.68
2015-12-31,1.67
2015-9-30,0.88
2015-6-30,0.93
2015-3-31,-1.33
2014-12-31,-2.05
2014-9-30,-6.12
2014-6-30,1.61
2014-3-31,1.25
2013-12-31,0.64
2013-9-30,1.5
2013-6-30,0.84
2013-3-31,0.88
2012-12-31,1.28
2012-9-30,-1.06
2012-6-30,-0.86
2012-3-31,0.03
2011-12-31,-19.16
2011-9-30,-0.1
2011-6-30,0.39
2011-3-31,0.96
2010-12-31,-2.59
2010-9-30,1.15
2010-6-30,2.22
2010-3-31,2.09
2009-12-31,2.23
2009-9-30,2.19
2009-6-30,2.49
2009-3-31,2.93
2008-12-31,1.94
2008-9-30,3.44
2008-6-30,3.45
2008-3-31,3.58
2007-12-31,7.23
2007-9-30,3.24
2007-6-30,1.84
2007-3-31,2.62
2006-12-31,3.79
2006-9-30,0.96
2006-6-30,0.75
2006-3-31,0.61
2005-12-31,1.35
2005-9-30,0.5
2005-6-30,0.9
2005-3-31,0.28
2004-12-31,-0.03
2004-9-30,0.47
