Date,EPS 
2016-12-31,1.65
2016-9-30,1.43
2016-6-30,1.46
2016-3-31,1.28
2015-12-31,1.4
2015-9-30,1.49
2015-6-30,1.52
2015-3-31,1.51
2014-12-31,1.56
2014-9-30,1.79
2014-6-30,1.43
2014-3-31,1.28
2013-12-31,1.41
2013-9-30,1.53
2013-6-30,1.45
2013-3-31,1.24
2012-12-31,1.14
2012-9-30,1.37
2012-6-30,1.33
2012-3-31,1.16
2011-12-31,1.27
2011-9-30,1.4
2011-6-30,1.23
2011-3-31,1.14
2010-12-31,1.04
2010-9-30,0.91
2010-6-30,0.83
2010-3-31,0.95
2009-12-31,0.53
2009-9-30,0.2
2009-6-30,0.23
2009-3-31,0.29
2008-12-31,0.83
2008-9-30,0.87
2008-6-30,1.03
2008-3-31,0.96
2007-12-31,1.04
2007-9-30,1.16
2007-6-30,1.05
2007-3-31,4.45
2006-12-31,2.5
2006-9-30,0.93
2006-6-30,0.83
2006-3-31,0.81
2005-12-31,0.8
2005-9-30,0.21
2005-6-30,0.68
2005-3-31,0.79
2004-12-31,0.71
2004-9-30,0.26
