Date,EPS 
2017-1-31,0.77
2016-10-31,0.62
2016-7-31,0.71
2016-4-30,0.73
2016-1-31,0.66
2015-10-31,0.53
2015-7-31,0.63
2015-4-30,0.69
2015-1-31,0.6
2014-10-31,0.46
2014-7-31,0.57
2014-4-30,0.575
2014-1-31,2.45
2013-10-31,0.4
2013-7-31,0.49
2013-4-30,0.535
2013-1-31,0.535
2012-10-31,0.36
2012-7-31,0.405
2012-4-30,0.465
2012-1-31,0.425
2011-10-31,0.315
2011-7-31,0.32
2011-4-30,0.37
2011-1-31,0.34
2010-10-31,0.255
2010-7-31,0.2675
2010-4-30,0.29
2010-1-31,0.2875
2009-10-31,0.21
2009-7-31,0.205
2009-4-30,0.18
2009-1-31,0.19
2008-10-31,0.11
2008-7-31,0.135
2008-4-30,0.15
2008-1-31,0.1725
2007-10-31,0.09
2007-7-31,0.0925
2007-4-30,0.12
2007-1-31,0.165
2006-10-31,0.0775
2006-7-31,0.08
2006-4-30,0.1025
2006-1-31,0.1225
2005-10-31,0.0625
2005-7-31,0.0725
2005-4-30,0.085
2005-1-31,0.085
2004-10-31,0.065
