Date,EPS 
2016-12-31,1.84
2016-9-30,1.79
2016-6-30,2.38
2016-3-31,1.43
2015-12-31,1.89
2015-9-30,1.47
2015-6-30,1.65
2015-3-31,1.79
2014-12-31,1.88
2014-9-30,1.65
2014-6-30,1.76
2014-3-31,1.89
2013-12-31,1.66
2013-9-30,1.51
2013-6-30,1.5
2013-3-31,1.49
2012-12-31,1.42
2012-9-30,1.5
2012-6-30,1.41
2012-3-31,1.32
2011-12-31,1.57
2011-9-30,1.43
2011-6-30,1.23
2011-3-31,1.06
2010-12-31,1.25
2010-9-30,1.94
2010-6-30,0.55
2010-3-31,1.16
2009-12-31,1.3
2009-9-30,1.25
2009-6-30,1.23
2009-3-31,1.12
2008-12-31,1.01
2008-9-30,1.0
2008-6-30,0.99
2008-3-31,0.92
2007-12-31,1.37
2007-9-30,0.68
2007-6-30,2.97
2007-3-31,0.76
2006-12-31,0.81
2006-9-30,0.71
2006-6-30,0.69
2006-3-31,0.61
2005-12-31,0.61
2005-9-30,0.5
2005-6-30,0.44
2005-3-31,0.36
2004-12-31,0.55
2004-9-30,0.34
