Date,EPS 
2016-12-31,0.87
2016-9-30,1.32
2016-6-30,0.74
2016-3-31,1.23
2015-12-31,0.69
2015-9-30,1.04
2015-6-30,0.69
2015-3-31,2.8
2014-12-31,0.73
2014-9-30,1.01
2014-6-30,0.68
2014-3-31,1.37
2013-12-31,0.73
2013-9-30,0.94
2013-6-30,0.6
2013-3-31,1.11
2012-12-31,0.78
2012-9-30,0.91
2012-6-30,0.54
2012-3-31,0.91
2011-12-31,0.74
2011-9-30,0.81
2011-6-30,0.43
2011-3-31,1.0
2010-12-31,0.74
2010-9-30,0.79
2010-6-30,0.43
2010-3-31,1.02
2009-12-31,0.62
2009-9-30,0.84
2009-6-30,0.45
2009-3-31,0.94
2008-12-31,0.73
2008-9-30,0.8
2008-6-30,0.48
2008-3-31,0.94
2007-12-31,0.75
2007-9-30,0.79
2007-6-30,0.47
2007-3-31,0.73
2006-12-31,0.57
2006-9-30,0.76
2006-6-30,0.5
2006-3-31,0.85
2005-12-31,0.65
2005-9-30,0.88
2005-6-30,0.39
2005-3-31,0.89
2004-12-31,0.37
2004-9-30,0.48
