Date,EPS 
2016-12-31,2.46
2016-9-30,2.22
2016-6-30,2.36
2016-3-31,2.16
2015-12-31,2.22
2015-9-30,1.98
2015-6-30,2.03
2015-3-31,1.87
2014-12-31,1.96
2014-9-30,1.76
2014-6-30,1.8
2014-3-31,1.62
2013-12-31,1.6
2013-9-30,1.43
2013-6-30,1.5
2013-3-31,1.4
2012-12-31,1.43
2012-9-30,1.26
2012-6-30,1.3
2012-3-31,1.21
2011-12-31,1.27
2011-9-30,1.16
2011-6-30,1.33
2011-3-31,0.96
2010-12-31,0.99
2010-9-30,0.8
2010-6-30,0.78
2010-3-31,0.63
2009-12-31,0.63
2009-9-30,0.44
2009-6-30,0.65
2009-3-31,0.6
2008-12-31,1.01
2008-9-30,0.94
2008-6-30,1.15
2008-3-31,0.97
2007-12-31,0.98
2007-9-30,0.7
2007-6-30,0.74
2007-3-31,0.66
2006-12-31,0.64
2006-9-30,0.48
2006-6-30,0.2
2006-3-31,0.37
2005-12-31,0.47
2005-9-30,0.36
2005-6-30,0.46
2005-3-31,0.31
2004-12-31,0.41
2004-9-30,0.39
