Date,EPS 
2016-12-31,0.19
2016-9-30,1.16
2016-6-30,0.65
2016-3-31,0.53
2015-12-31,0.29
2015-9-30,1.05
2015-6-30,0.69
2015-3-31,0.56
2014-12-31,0.31
2014-9-30,0.8
2014-6-30,0.68
2014-3-31,0.39
2013-12-31,0.47
2013-9-30,0.97
2013-6-30,0.34
2013-3-31,0.09
2012-12-31,0.44
2012-9-30,1.11
2012-6-30,0.71
2012-3-31,0.42
2011-12-31,0.29
2011-9-30,1.06
2011-6-30,0.7
2011-3-31,0.49
2010-12-31,0.17
2010-9-30,0.97
2010-6-30,0.61
2010-3-31,0.6
2009-12-31,0.3
2009-9-30,0.99
2009-6-30,0.6
2009-3-31,0.16
2008-12-31,0.24
2008-9-30,1.0
2008-6-30,0.54
2008-3-31,0.47
2007-12-31,0.26
2007-9-30,1.0
2007-6-30,0.56
2007-3-31,0.45
2006-12-31,0.25
2006-9-30,0.99
2006-6-30,0.52
2006-3-31,0.35
2005-12-31,0.22
2005-9-30,0.97
2005-6-30,0.52
2005-3-31,0.43
2004-12-31,0.27
2004-9-30,0.87
