Date,EPS 
2016-12-31,1.26
2016-9-30,1.61
2016-6-30,1.45
2016-3-31,1.55
2015-12-31,1.26
2015-9-30,1.36
2015-6-30,1.52
2015-3-31,1.73
2014-12-31,1.3
2014-9-30,0.8108
2014-6-30,1.308
2014-3-31,1.1
2013-12-31,1.23
2013-9-30,1.0
2013-6-30,1.1
2013-3-31,0.91
2012-12-31,1.01
2012-9-30,0.84
2012-6-30,0.71
2012-3-31,2.18
2011-12-31,1.24
2011-9-30,0.93
2011-6-30,0.7
2011-3-31,0.61
2010-12-31,0.75
2010-9-30,0.79
2010-6-30,0.52
2010-3-31,0.03
2009-12-31,0.32
2009-9-30,0.38
2009-6-30,-0.08
2009-3-31,0.45
2008-12-31,0.64
2008-9-30,0.5
2008-6-30,0.34
2008-3-31,0.39
2007-12-31,0.5
2007-9-30,0.74
2007-6-30,0.27
2007-3-31,0.44
2006-12-31,0.92
2006-9-30,0.43
2006-6-30,0.37
2006-3-31,0.47
2005-12-31,0.52
2005-9-30,0.34
2005-6-30,0.7
2005-3-31,0.26
2004-12-31,0.5
2004-9-30,0.36
