Date,EPS 
2016-10-31,0.27
2016-7-31,-1.18
2016-4-30,0.06
2016-1-31,0.13
2015-10-31,0.31
2015-7-31,0.06
2015-4-30,0.09
2015-1-31,-0.41
2014-10-31,0.34
2014-7-31,0.13
2014-4-30,0.15
2014-1-31,0.32
2013-10-31,0.21
2013-7-31,0.16
2013-4-30,0.26
2013-1-31,0.12
2012-10-31,-0.89
2012-7-31,0.18
2012-4-30,0.27
2012-1-31,0.41
2011-10-31,0.47
2011-7-31,0.25
2011-4-30,0.28
2011-1-31,0.38
2010-10-31,0.4
2010-7-31,0.18
2010-4-30,0.26
2010-1-31,0.32
2009-10-31,0.37
2009-7-31,0.13
2009-4-30,0.2
2009-1-31,0.4
2008-10-31,0.22
2008-7-31,0.21
2008-4-30,0.3
2008-1-31,0.46
2007-10-31,0.38
2007-7-31,0.25
2007-4-30,0.29
2007-1-31,0.46
2006-10-31,0.39
2006-7-31,0.22
2006-4-30,0.25
2006-1-31,0.37
2005-10-31,0.3
2005-7-31,0.18
2005-4-30,0.2
2005-1-31,0.27
2004-10-31,0.28
2004-7-31,0.16
