Date,EPS 
2016-12-31,0.14
2016-9-30,0.72
2016-6-30,0.43
2016-3-31,0.78
2015-12-31,0.82
2015-9-30,0.81
2015-6-30,1.02
2015-3-31,0.34
2014-12-31,0.96
2014-9-30,0.96
2014-6-30,0.95
2014-3-31,0.91
2013-12-31,0.89
2013-9-30,0.92
2013-6-30,0.89
2013-3-31,0.85
2012-12-31,0.8
2012-9-30,0.75
2012-6-30,0.78
2012-3-31,0.75
2011-12-31,0.74
2011-9-30,0.68
2011-6-30,0.63
2011-3-31,0.64
2010-12-31,0.57
2010-9-30,0.65
2010-6-30,0.61
2010-3-31,0.56
2009-12-31,0.52
2009-9-30,0.54
2009-6-30,0.51
2009-3-31,0.47
2008-12-31,0.44
2008-9-30,0.45
2008-6-30,0.44
2008-3-31,0.35
2007-12-31,0.27
2007-9-30,0.37
2007-6-30,0.36
2007-3-31,0.325
2006-12-31,0.32
2006-9-30,0.305
2006-6-30,0.28
2006-3-31,0.26
2005-12-31,-0.01
2005-9-30,0.26
2005-6-30,0.255
2005-3-31,0.24
2004-12-31,0.205
2004-9-30,0.23
