Date,EPS 
2016-12-31,1.52
2016-9-30,2.46
2016-6-30,0.06
2016-3-31,1.27
2015-12-31,1.46
2015-9-30,0.99
2015-6-30,1.17
2015-3-31,1.74
2014-12-31,1.18
2014-9-30,1.39
2014-6-30,1.08
2014-3-31,0.99
2013-12-31,1.12
2013-9-30,1.19
2013-6-30,0.98
2013-3-31,0.72
2012-12-31,1.17
2012-9-30,1.09
2012-6-30,0.25
2012-3-31,0.97
2011-12-31,1.19
2011-9-30,1.2
2011-6-30,2.09
2011-3-31,1.05
2010-12-31,1.14
2010-9-30,0.53
2010-6-30,0.89
2010-3-31,0.42
2009-12-31,1.15
2009-9-30,1.27
2009-6-30,0.8
2009-3-31,1.29
2008-12-31,1.3
2008-9-30,1.24
2008-6-30,0.98
2008-3-31,0.92
2007-12-31,1.1
2007-9-30,1.15
2007-6-30,1.05
2007-3-31,0.86
2006-12-31,0.46
2006-9-30,2.49
2006-6-30,1.43
2006-3-31,0.98
2005-12-31,1.39
2005-9-30,0.86
2005-6-30,0.48
2005-3-31,0.92
2004-12-31,-1.49
2004-9-30,0.98
