Date,EPS 
2016-8-31,1.75
2016-5-31,1.55
2016-2-29,1.19
2015-11-30,1.33
2015-8-31,1.49
2015-5-31,1.18
2015-2-28,1.06
2014-11-30,1.1
2014-8-31,0.98
2014-5-31,1.03
2014-2-28,0.76
2013-11-30,1.07
2013-8-31,7.74
2013-5-31,0.27
2013-2-28,0.42
2012-11-30,0.58
2012-8-31,0.67
2012-5-31,0.38
2012-2-29,0.51
2011-11-30,0.52
2011-8-31,0.76
2011-5-31,0.35
2011-2-28,1.32
2010-11-30,0.65
2010-8-31,0.43
2010-5-31,0.22
2010-2-28,-0.23
2009-11-30,0.2
2009-8-31,0.41
2009-5-31,0.03
2009-2-28,-1.89
2008-11-30,0.38
2008-8-31,-0.11
2008-5-31,0.2
2008-2-29,-3.85
2007-11-30,0.55
2007-8-31,0.33
2007-5-31,0.13
2007-2-28,0.29
2006-11-30,0.45
2006-8-31,0.28
2006-5-31,0.36
2006-2-28,0.24
2005-11-30,0.46
2005-8-31,0.34
2005-5-31,0.32
2005-2-28,0.2
2004-11-30,0.42
2004-8-31,0.345
2004-5-31,0.225
