Date,EPS 
2016-12-31,1.7
2016-9-30,1.68
2016-6-30,1.84
2016-3-31,1.28
2015-12-31,1.76
2015-9-30,1.52
2015-6-30,1.49
2015-3-31,1.04
2014-12-31,0.91
2014-9-30,1.47
2014-6-30,1.36
2014-3-31,1.02
2013-12-31,0.35
2013-9-30,1.04
2013-6-30,1.18
2013-3-31,0.51
2012-12-31,2.96
2012-9-30,0.69
2012-6-30,0.92
2012-3-31,0.72
2011-12-31,0.98
2011-9-30,0.92
2011-6-30,1.14
2011-3-31,0.92
2010-12-31,0.9
2010-9-30,0.73
2010-6-30,0.28
2010-3-31,-1.11
2009-12-31,0.69
2009-9-30,0.75
2009-6-30,0.87
2009-3-31,0.47
2008-12-31,-0.01
2008-9-30,2.04
2008-6-30,0.98
2008-3-31,0.83
2007-12-31,1.11
2007-9-30,1.09
2007-6-30,1.01
2007-3-31,0.8
2006-12-31,1.03
2006-9-30,1.09
2006-6-30,0.9
2006-3-31,0.44
2005-12-31,0.7
2005-9-30,0.9
2005-6-30,0.78
2005-3-31,0.78
2004-12-31,1.04
2004-9-30,0.76
