Date,EPS 
2016-12-31,1.38
2016-9-30,1.31
2016-6-30,0.97
2016-3-31,1.08
2015-12-31,1.82
2015-9-30,1.18
2015-6-30,1.06
2015-3-31,0.85
2014-12-31,1.01
2014-9-30,0.91
2014-6-30,0.58
2014-3-31,0.4
2013-12-31,0.49
2013-9-30,0.44
2013-6-30,0.34
2013-3-31,0.32
2012-12-31,0.34
2012-9-30,0.31
2012-6-30,0.26
2012-3-31,0.18
2011-12-31,0.3
2011-9-30,0.34
2011-6-30,0.27
2011-3-31,0.26
2010-12-31,0.32
2010-9-30,0.25
2010-6-30,0.19
2010-3-31,0.15
2009-12-31,0.16
2009-9-30,0.34
2009-6-30,0.11
2009-3-31,-0.03
2008-12-31,0.14
2008-9-30,0.34
2008-6-30,0.12
2008-3-31,0.1
2007-12-31,0.12
2007-9-30,0.14
2007-6-30,0.07
2007-3-31,0.08
2006-12-31,0.0739
2006-9-30,-0.6
2006-6-30,0.02
2006-3-31,0.01
2005-12-31,0.027
2005-9-30,0.02
2005-6-30,0.05
2005-3-31,0.01
2004-12-31,0.0876
2004-9-30,0.1
