Date,EPS 
2016-12-31,-0.3
2016-9-30,-1.52
2016-6-30,-1.61
2016-3-31,-3.03
2015-12-31,-5.6
2015-9-30,-4.62
2015-6-30,-2.13
2015-3-31,0.12
2014-12-31,0.88
2014-9-30,0.6
2014-6-30,0.59
2014-3-31,0.55
2013-12-31,0.41
2013-9-30,0.53
2013-6-30,0.7
2013-3-31,0.36
2012-12-31,-1.02
2012-9-30,-0.16
2012-6-30,-1.16
2012-3-31,0.31
2011-12-31,0.45
2011-9-30,0.5
2011-6-30,0.48
2011-3-31,0.39
2010-12-31,0.43
2010-9-30,0.46
2010-6-30,0.35
2010-3-31,0.49
2009-12-31,0.46
2009-9-30,0.34
2009-6-30,0.35
2009-3-31,-1.26
2008-12-31,0.3
2008-9-30,0.63
2008-6-30,0.39
2008-3-31,0.31
2007-12-31,0.21
2007-9-30,0.15
2007-6-30,0.14
2007-3-31,0.15
2006-12-31,0.1
2006-9-30,0.1
2006-6-30,0.11
2006-3-31,0.17
2005-12-31,0.1475
2005-9-30,0.1275
2005-6-30,0.09
2005-3-31,0.11
2004-12-31,0.11
2004-9-30,0.085
