Date,EPS 
2016-12-31,0.07
2016-9-30,-0.23
2016-6-30,0.22
2016-3-31,3.06
2015-12-31,0.25
2015-9-30,0.23
2015-6-30,0.17
2015-3-31,0.25
2014-12-31,0.32
2014-9-30,0.35
2014-6-30,0.34
2014-3-31,0.31
2013-12-31,0.4
2013-9-30,0.34
2013-6-30,0.22
2013-3-31,0.26
2012-12-31,0.31
2012-9-30,0.27
2012-6-30,0.22
2012-3-31,0.77
2011-12-31,0.32
2011-9-30,0.24
2011-6-30,0.25
2011-3-31,0.22
2010-12-31,0.17
2010-9-30,0.17
2010-6-30,0.2
2010-3-31,0.23
2009-12-31,0.37
2009-9-30,0.19
2009-6-30,0.09
2009-3-31,-0.36
2008-12-31,-8.25
2008-9-30,0.16
2008-6-30,0.2
2008-3-31,0.21
2007-12-31,0.15
2007-9-30,0.06
2007-6-30,0.1
2007-3-31,0.07
2006-12-31,0.12
2006-9-30,0.13
2006-6-30,0.1
2006-3-31,0.11
2005-12-31,0.08
2005-9-30,-0.21
2005-6-30,0.27
2005-3-31,0.16
2004-12-31,0.22
2004-9-30,0.19
