Date,EPS 
2016-12-31,0.39
2016-9-30,0.54
2016-6-30,0.55
2016-3-31,0.61
2015-12-31,0.66
2015-9-30,0.5
2015-6-30,0.59
2015-3-31,0.63
2014-12-31,-0.76
2014-9-30,0.6
2014-6-30,0.68
2014-3-31,0.7
2013-12-31,1.32
2013-9-30,0.72
2013-6-30,0.71
2013-3-31,0.67
2012-12-31,-0.65
2012-9-30,0.63
2012-6-30,0.66
2012-3-31,0.6
2011-12-31,-1.13
2011-9-30,0.61
2011-6-30,0.6
2011-3-31,0.57
2010-12-31,0.18
2010-9-30,2.07
2010-6-30,0.67
2010-3-31,0.41
2009-12-31,0.44
2009-9-30,0.54
2009-6-30,0.54
2009-3-31,0.53
2008-12-31,0.41
2008-9-30,0.55
2008-6-30,0.63
2008-3-31,0.57
2007-12-31,0.52
2007-9-30,0.5
2007-6-30,0.47
2007-3-31,0.45
2006-12-31,0.49
2006-9-30,0.56
2006-6-30,0.46
2006-3-31,0.37
2005-12-31,0.47
2005-9-30,0.38
2005-6-30,0.3
2005-3-31,0.27
2004-12-31,0.2
2004-9-30,0.63
