Date,EPS 
2016-12-31,1.14
2016-9-30,1.23
2016-6-30,2.32
2016-3-31,1.03
2015-12-31,0.91
2015-9-30,2.55
2015-6-30,0.75
2015-3-31,1.45
2014-12-31,1.14
2014-9-30,1.59
2014-6-30,0.97
2014-3-31,0.87
2013-12-31,0.84
2013-9-30,0.92
2013-6-30,0.8
2013-3-31,0.65
2012-12-31,0.65
2012-9-30,0.92
2012-6-30,0.46
2012-3-31,0.6
2011-12-31,0.61
2011-9-30,0.75
2011-6-30,0.8
2011-3-31,0.67
2010-12-31,0.59
2010-9-30,0.66
2010-6-30,0.72
2010-3-31,0.66
2009-12-31,0.37
2009-9-30,0.22
2009-6-30,-0.17
2009-3-31,-7.07
2008-12-31,-0.08
2008-9-30,0.45
2008-6-30,0.68
2008-3-31,0.62
2007-12-31,1.9
2007-9-30,0.52
2007-6-30,-2.75
2007-3-31,0.56
2006-12-31,0.57
2006-9-30,0.74
2006-6-30,0.6
