Date,EPS 
2016-12-31,0.61
2016-9-30,0.54
2016-6-30,0.45
2016-3-31,0.38
2015-12-31,0.63
2015-9-30,0.38
2015-6-30,0.5
2015-3-31,0.49
2014-12-31,2.92
2014-9-30,0.51
2014-6-30,0.9
2014-3-31,0.25
2013-12-31,0.39
2013-9-30,0.34
2013-6-30,0.48
2013-3-31,0.44
2012-12-31,0.44
2012-9-30,0.56
2012-6-30,0.51
2012-3-31,0.28
2011-12-31,0.49
2011-9-30,0.41
2011-6-30,0.62
2011-3-31,0.37
2010-12-31,0.71
2010-9-30,0.42
2010-6-30,0.81
2010-3-31,0.49
2009-12-31,0.57
2009-9-30,0.31
2009-6-30,0.3
2009-3-31,0.34
2008-12-31,-20.62
2008-9-30,0.69
2008-6-30,-10.03
2008-3-31,0.84
2007-12-31,1.06
2007-9-30,1.01
2007-6-30,1.56
2007-3-31,0.9
2006-12-31,1.5
2006-9-30,1.11
2006-6-30,1.31
2006-3-31,0.99
2005-12-31,1.43
2005-9-30,1.22
2005-6-30,1.37
2005-3-31,1.05
2004-12-31,1.45
2004-9-30,1.18
