Date,EPS 
2016-10-31,0.76
2016-7-31,0.84
2016-4-30,0.69
2016-1-31,1.27
2015-10-31,0.7
2015-7-31,0.81
2015-4-30,0.81
2015-1-31,1.51
2014-10-31,0.29
2014-7-31,0.96
2014-4-30,0.97
2014-1-31,-0.81
2013-10-31,0.73
2013-7-31,0.83
2013-4-30,0.65
2013-1-31,1.4
2012-10-31,0.49
2012-7-31,0.72
2012-4-30,0.64
2012-1-31,1.38
2011-10-31,0.7
2011-7-31,0.69
2011-4-30,0.63
2011-1-31,1.41
2010-10-31,0.43
2010-7-31,0.53
2010-4-30,0.5
2010-1-31,1.11
2009-10-31,0.35
2009-7-31,0.46
2009-4-30,0.2
2009-1-31,0.25
2008-10-31,0.35
2008-7-31,0.63
2008-4-30,0.5
2008-1-31,0.94
2007-10-31,0.73
2007-7-31,0.26
2007-4-30,0.39
2007-1-31,1.0
2006-10-31,0.21
2006-7-31,0.29
2006-4-30,0.3
2006-1-31,0.96
2005-10-31,0.16
2005-7-31,0.35
2005-4-30,0.27
2005-1-31,1.46
2004-10-31,0.12
2004-7-31,0.22
