Date,EPS 
2016-12-31,1.11
2016-9-30,1.25
2016-6-30,1.13
2016-3-31,1.01
2015-12-31,1.07
2015-9-30,1.15
2015-6-30,1.0
2015-3-31,0.95
2014-12-31,1.12
2014-9-30,1.0
2014-6-30,0.98
2014-3-31,0.98
2013-12-31,1.04
2013-9-30,0.95
2013-6-30,0.96
2013-3-31,0.8467
2012-12-31,1.04
2012-9-30,0.9067
2012-6-30,0.88
2012-3-31,0.78
2011-12-31,0.8
2011-9-30,0.8333
2011-6-30,0.8467
2011-3-31,0.56
2010-12-31,0.7467
2010-9-30,0.6267
2010-6-30,0.4533
2010-3-31,0.6489
2009-12-31,0.6067
2009-9-30,0.5422
2009-6-30,0.6133
2009-3-31,0.4044
2008-12-31,0.7111
2008-9-30,0.32
2008-6-30,0.6533
2008-3-31,0.5733
2007-12-31,0.6267
2007-9-30,0.6267
2007-6-30,0.5867
2007-3-31,0.6089
2006-12-31,0.6356
2006-9-30,0.5689
2006-6-30,0.56
2006-3-31,0.5156
2005-12-31,0.5333
2005-9-30,0.5067
2005-6-30,0.5556
2005-3-31,0.4844
2004-12-31,0.4667
2004-9-30,0.4978
