Date,EPS 
2016-12-31,1.5
2016-9-30,1.28
2016-6-30,0.76
2016-3-31,1.15
2015-12-31,1.18
2015-9-30,1.06
2015-6-30,1.24
2015-3-31,1.13
2014-12-31,1.18
2014-9-30,1.12
2014-6-30,1.13
2014-3-31,1.12
2013-12-31,1.07
2013-9-30,1.0
2013-6-30,0.92
2013-3-31,0.91
2012-12-31,0.88
2012-9-30,0.94
2012-6-30,0.79
2012-3-31,0.75
2011-12-31,0.72
2011-9-30,0.71
2011-6-30,0.76
2011-3-31,0.72
2010-12-31,0.72
2010-9-30,0.64
2010-6-30,0.59
2010-3-31,0.57
2009-12-31,0.58
2009-9-30,0.5
2009-6-30,0.38
2009-3-31,0.19
2008-12-31,0.1
2008-9-30,0.56
2008-6-30,0.59
2008-3-31,0.55
2007-12-31,0.68
2007-9-30,0.63
2007-6-30,0.58
2007-3-31,0.51
2006-12-31,0.53
2006-9-30,0.46
2006-6-30,0.49
2006-3-31,0.42
2005-12-31,0.43
2005-9-30,0.43
2005-6-30,0.38
2005-3-31,0.345
2004-12-31,0.355
2004-9-30,0.31
