Date,EPS 
2016-12-31,1.59
2016-9-30,0.98
2016-6-30,1.25
2016-3-31,1.1
2015-12-31,1.15
2015-9-30,0.6
2015-6-30,0.83
2015-3-31,0.75
2014-12-31,0.74
2014-9-30,0.32
2014-6-30,0.73
2014-3-31,0.6
2013-12-31,0.72
2013-9-30,0.7
2013-6-30,0.68
2013-3-31,0.26
2012-12-31,0.48
2012-9-30,0.51
2012-6-30,0.21
2012-3-31,0.44
2011-12-31,0.42
2011-9-30,0.26
2011-6-30,0.51
2011-3-31,0.42
2010-12-31,0.78
2010-9-30,0.57
2010-6-30,0.65
2010-3-31,0.42
2009-12-31,0.42
2009-9-30,-1.25
2009-6-30,0.35
2009-3-31,-0.32
2008-12-31,-0.27
2008-9-30,0.13
2008-6-30,0.03
2008-3-31,-0.02
2007-12-31,0.1
2007-9-30,0.09
2007-6-30,0.31
2007-3-31,0.19
2006-12-31,0.16
2006-9-30,-0.17
2006-6-30,-0.15
2006-3-31,-0.37
2005-12-31,0.11
2005-9-30,0.295
2005-6-30,0.36
2005-3-31,0.21
2004-12-31,0.14
2004-9-30,0.17
