Date,EPS 
2016-10-31,1.4
2016-7-31,1.43
2016-4-30,1.45
2016-1-31,1.68
2015-10-31,1.11
2015-7-31,1.15
2015-4-30,1.04
2015-1-31,1.35
2014-10-31,0.91
2014-7-31,0.94
2014-4-30,0.77
2014-1-31,1.1
2013-10-31,0.7
2013-7-31,0.7
2013-4-30,0.65
2013-1-31,1.0
2012-10-31,0.59
2012-7-31,0.54
2012-4-30,0.54
2012-1-31,0.73
2011-10-31,0.42
2011-7-31,0.38
2011-4-30,0.37
2011-1-31,0.49
2010-10-31,0.23
2010-7-31,0.22
2010-4-30,0.23
2010-1-31,0.34
2009-10-31,0.14
2009-7-31,0.1
2009-4-30,0.08
2009-1-31,0.21
2008-10-31,0.09
2008-7-31,0.06
2008-4-30,0.07
2008-1-31,0.43
2007-10-31,0.05
2007-7-31,-0.08
2007-4-30,0.07
2007-1-31,0.21
2006-10-31,0.05
2006-7-31,0.13
2006-4-30,0.06
2006-1-31,0.0825
2005-10-31,0.0825
2005-7-31,0.0825
2005-4-30,0.0825
