Date,EPS 
2016-12-31,-0.26
2016-9-30,1.44
2016-6-30,1.43
2016-3-31,1.27
2015-12-31,1.48
2015-9-30,1.39
2015-6-30,1.35
2015-3-31,1.12
2014-12-31,0.5
2014-9-30,1.32
2014-6-30,0.49
2014-3-31,0.98
2013-12-31,1.24
2013-9-30,1.16
2013-6-30,1.13
2013-3-31,1.08
2012-12-31,-1.82
2012-9-30,0.48
2012-6-30,1.15
2012-3-31,1.0
2011-12-31,0.75
2011-9-30,1.09
2011-6-30,1.09
2011-3-31,0.91
2010-12-31,0.97
2010-9-30,0.99
2010-6-30,0.84
2010-3-31,0.53
2009-12-31,0.75
2009-9-30,0.55
2009-6-30,0.44
2009-3-31,0.4
2008-12-31,0.27
2008-9-30,0.96
2008-6-30,0.85
2008-3-31,0.87
2007-12-31,-2.49
2007-9-30,1.02
2007-6-30,1.04
2007-3-31,0.78
2006-12-31,1.04
2006-9-30,0.96
2006-6-30,0.97
2006-3-31,0.89
2005-12-31,0.95
2005-9-30,0.86
2005-6-30,0.88
2005-3-31,0.78
2004-12-31,0.76
2004-9-30,0.78
