Date,EPS 
2016-12-31,1.0
2016-9-30,1.04
2016-6-30,0.91
2016-3-31,0.14
2015-12-31,0.66
2015-9-30,0.91
2015-6-30,0.36
2015-3-31,-0.3
2014-12-31,0.28
2014-9-30,0.5
2014-6-30,0.35
2014-3-31,0.41
2013-12-31,0.07
2013-9-30,0.31
2013-6-30,0.22
2013-3-31,-0.42
2012-12-31,0.02
2012-9-30,0.11
2012-6-30,-0.14
2012-3-31,-0.4
2011-12-31,-0.22
2011-9-30,0.15
2011-6-30,-0.06
2011-3-31,-0.42
2010-12-31,-0.36
2010-9-30,0.1
2010-6-30,-0.19
2010-3-31,-0.31
2009-12-31,-0.12
2009-9-30,0.43
2009-6-30,0.2
2009-3-31,-0.3
2008-12-31,-1.94
2008-9-30,0.53
2008-6-30,1.27
2008-3-31,0.13
2007-12-31,0.8
2007-9-30,1.38
2007-6-30,1.45
2007-3-31,0.91
2006-12-31,1.2
2006-9-30,1.39
2006-6-30,1.48
2006-3-31,0.68
2005-12-31,0.88
2005-9-30,1.17
2005-6-30,1.17
2005-3-31,0.52
2004-12-31,0.82
2004-9-30,0.96
