Date,EPS 
2016-12-31,0.84
2016-9-30,0.9
2016-6-30,0.87
2016-3-31,0.82
2015-12-31,0.76
2015-9-30,0.7
2015-6-30,0.7
2015-3-31,0.66
2014-12-31,0.49
2014-9-30,0.69
2014-6-30,0.71
2014-3-31,0.64
2013-12-31,1.89
2013-9-30,0.53
2013-6-30,0.55
2013-3-31,0.52
2012-12-31,0.65
2012-9-30,0.47
2012-6-30,0.42
2012-3-31,0.42
2011-12-31,0.33
2011-9-30,0.36
2011-6-30,-0.06
2011-3-31,0.24
2010-12-31,-0.18
2010-9-30,4.48
2010-6-30,0.19
2010-3-31,0.28
2009-12-31,0.48
2009-9-30,0.28
2009-6-30,0.18
2009-3-31,0.34
2008-12-31,-0.5
2008-9-30,-1.03
2008-6-30,-0.35
2008-3-31,-0.04
2007-12-31,-0.93
2007-9-30,0.06
2007-6-30,-0.02
2007-3-31,0.25
2006-12-31,-0.12
2006-9-30,0.06
2006-6-30,1.52
2006-3-31,0.07
2005-12-31,1.05
2005-9-30,0.21
2005-6-30,0.15
2005-3-31,0.19
2004-12-31,0.32
2004-9-30,0.16
