Date,EPS 
2016-12-31,0.13
2016-9-30,-0.16
2016-6-30,-0.26
2016-3-31,-0.17
2015-12-31,-0.31
2015-9-30,-0.39
2015-6-30,-0.78
2015-3-31,-0.83
2014-12-31,-0.74
2014-9-30,-0.72
2014-6-30,-0.68
2014-3-31,-1.0
2013-12-31,0.22
2013-9-30,-0.54
2013-6-30,-0.26
2013-3-31,-1.43
2012-12-31,-0.35
2012-9-30,-0.27
2012-6-30,-0.31
2012-3-31,0.43
2011-12-31,0.77
2011-9-30,1.02
2011-6-30,-0.85
2011-3-31,-0.87
2010-12-31,-0.9
2010-9-30,-1.04
2010-6-30,-1.0
2010-3-31,-0.83
2009-12-31,-0.85
2009-9-30,-0.84
2009-6-30,-0.99
2009-3-31,-1.04
2008-12-31,-0.97
2008-9-30,-0.93
2008-6-30,-0.66
2008-3-31,-0.72
2007-12-31,-0.65
2007-9-30,-0.82
2007-6-30,-0.91
2007-3-31,-0.64
2006-12-31,-0.19
2006-9-30,-0.46
2006-6-30,-0.72
2006-3-31,-0.47
2005-12-31,-0.35
2005-9-30,-0.84
2005-6-30,-0.5
2005-3-31,-0.56
2004-12-31,-0.55
2004-9-30,-0.49
