Date,EPS 
2016-12-31,2.15
2016-9-30,1.53
2016-6-30,1.57
2016-3-31,1.15
2015-12-31,1.83
2015-9-30,1.4
2015-6-30,1.27
2015-3-31,1.15
2014-12-31,1.78
2014-9-30,1.34
2014-6-30,1.13
2014-3-31,0.82
2013-12-31,1.64
2013-9-30,1.14
2013-6-30,1.03
2013-3-31,1.39
2012-12-31,2.0
2012-9-30,1.12
2012-6-30,1.09
2012-3-31,0.98
2011-12-31,1.51
2011-9-30,1.1
2011-6-30,1.07
2011-3-31,1.01
2010-12-31,1.35
2010-9-30,1.02
2010-6-30,0.9
2010-3-31,0.79
2009-12-31,1.08
2009-9-30,0.79
2009-6-30,0.72
2009-3-31,0.75
2008-12-31,1.0
2008-9-30,0.71
2008-6-30,0.82
2008-3-31,0.67
2007-12-31,0.97
2007-9-30,0.52
2007-6-30,0.59
2007-3-31,0.54
2006-12-31,0.77
2006-9-30,0.49
2006-6-30,0.46
2006-3-31,0.42
2005-12-31,0.67
2005-9-30,0.22
2005-6-30,0.46
2005-3-31,0.38
2004-12-31,0.58
2004-9-30,0.42
