Date,EPS 
2016-9-30,0.68
2016-6-30,0.57
2016-3-31,1.09
2015-12-31,0.56
2015-9-30,0.58
2015-6-30,0.35
2015-3-31,0.86
2014-12-31,0.54
2014-9-30,0.56
2014-6-30,0.58
2014-3-31,0.91
2013-12-31,0.63
2013-9-30,0.6
2013-6-30,0.52
2013-3-31,0.76
2012-12-31,0.43
2012-9-30,0.67
2012-6-30,0.51
2012-3-31,0.74
2011-12-31,0.5
2011-9-30,0.55
2011-6-30,0.46
2011-3-31,0.72
2010-12-31,0.53
2010-9-30,0.47
2010-6-30,0.37
2010-3-31,0.55
2009-12-31,0.5
2009-9-30,0.25
2009-6-30,0.27
2009-3-31,0.6
2008-12-31,0.425
2008-9-30,0.325
2008-6-30,0.245
2008-3-31,0.52
2007-12-31,0.395
2007-9-30,0.35
2007-6-30,0.245
2007-3-31,0.425
2006-12-31,0.325
2006-9-30,0.3
2006-6-30,0.265
2006-3-31,0.445
2005-12-31,0.385
2005-9-30,0.28
2005-6-30,0.26
2005-3-31,0.38
2004-12-31,0.39
2004-9-30,0.355
2004-6-30,0.16
