Date,EPS 
2016-12-31,2.34
2016-9-30,3.1
2016-6-30,4.15
2016-3-31,1.92
2015-12-31,2.29
2015-9-30,2.95
2015-6-30,2.21
2015-3-31,2.38
2014-12-31,1.01
2014-9-30,2.88
2014-6-30,2.25
2014-3-31,2.02
2013-12-31,2.27
2013-9-30,2.42
2013-6-30,2.44
2013-3-31,3.12
2012-12-31,1.53
2012-9-30,0.94
2012-6-30,1.43
2012-3-31,1.17
2011-12-31,2.62
2011-9-30,2.27
2011-6-30,-2.1
2011-3-31,2.17
2010-12-31,2.18
2010-9-30,1.02
2010-6-30,2.64
2010-3-31,2.13
2009-12-31,1.24
2009-9-30,1.15
2009-6-30,1.04
2009-3-31,0.91
2008-12-31,0.61
2008-9-30,2.15
2008-6-30,1.53
2008-3-31,1.22
2007-12-31,2.38
2007-9-30,2.2
2007-6-30,2.0
2007-3-31,1.46
2006-12-31,1.37
2006-9-30,1.47
2006-6-30,1.14
2006-3-31,1.7
2005-12-31,1.84
2005-9-30,1.66
2005-6-30,1.42
2005-3-31,1.26
2004-12-31,1.44
2004-9-30,1.5
