Date,EPS 
2016-12-31,1.04
2016-9-30,-0.23
2016-6-30,0.51
2016-3-31,1.75
2015-12-31,-0.35
2015-9-30,1.7
2015-6-30,1.01
2015-3-31,3.04
2014-12-31,1.161
2014-9-30,-0.106
2014-6-30,0.6887
2014-3-31,3.576
2013-12-31,0.9462
2013-9-30,-0.3973
2013-6-30,1.563
2013-3-31,3.285
2012-12-31,-12.34
2012-9-30,0.3973
2012-6-30,1.616
2012-3-31,3.391
2011-12-31,0.3709
2011-9-30,0.9007
2011-6-30,1.272
2011-3-31,0.5298
2010-12-31,1.51
2010-9-30,0.9801
2010-6-30,1.378
2010-3-31,3.179
2009-12-31,1.192
2009-9-30,1.245
2009-6-30,1.378
2009-3-31,3.073
2008-12-31,0.9272
2008-9-30,0.6623
2008-6-30,0.7152
2008-3-31,3.073
2007-12-31,1.748
2007-9-30,1.218
2007-6-30,1.43
2007-3-31,2.914
2006-12-31,2.49
2006-9-30,1.483
2006-6-30,1.192
2006-3-31,2.331
2005-12-31,0.9007
2005-9-30,0.7417
2005-6-30,1.854
2005-3-31,1.139
2004-12-31,1.404
2004-9-30,1.192
