Date,EPS 
2016-12-31,0.75
2016-9-30,0.68
2016-6-30,0.64
2016-3-31,0.58
2015-12-31,0.6
2015-9-30,0.74
2015-6-30,0.6
2015-3-31,-0.28
2014-12-31,1.27
2014-9-30,0.58
2014-6-30,0.45
2014-3-31,0.49
2013-12-31,-1.29
2013-9-30,0.62
2013-6-30,0.52
2013-3-31,0.36
2012-12-31,0.48
2012-9-30,0.46
2012-6-30,0.45
2012-3-31,0.37
2011-12-31,0.58
2011-9-30,0.58
2011-6-30,0.5
2011-3-31,0.39
2010-12-31,0.58
2010-9-30,0.51
2010-6-30,0.51
2010-3-31,0.37
2009-12-31,0.64
2009-9-30,0.56
2009-6-30,0.5
2009-3-31,0.31
2008-12-31,0.44
2008-9-30,0.63
2008-6-30,0.64
2008-3-31,0.48
2007-12-31,0.61
2007-9-30,0.54
2007-6-30,0.64
2007-3-31,0.42
2006-12-31,0.45
2006-9-30,0.55
2006-6-30,0.76
2006-3-31,0.34
2005-12-31,0.52
2005-9-30,0.38
2005-6-30,0.92
2005-3-31,0.26
2004-12-31,0.46
2004-9-30,0.52
