Date,EPS 
2016-12-31,-0.02
2016-9-30,0.08
2016-6-30,-0.54
2016-3-31,-0.09
2015-12-31,-0.95
2015-9-30,-0.05
2015-6-30,0.15
2015-3-31,0.09
2014-12-31,0.24
2014-9-30,2.22
2014-6-30,0.15
2014-3-31,0.2
2013-12-31,-0.03
2013-9-30,0.2
2013-6-30,0.21
2013-3-31,0.23
2012-12-31,0.22
2012-9-30,0.25
2012-6-30,0.21
2012-3-31,0.7
2011-12-31,-0.75
2011-9-30,0.46
2011-6-30,0.38
2011-3-31,0.54
2010-12-31,0.29
2010-9-30,-2.16
2010-6-30,0.31
2010-3-31,-0.33
2009-12-31,0.3
2009-9-30,0.24
2009-6-30,0.24
2009-3-31,-0.29
2008-12-31,0.2
2008-9-30,0.62
2008-6-30,0.73
2008-3-31,0.84
2007-12-31,0.38
2007-9-30,0.33
2007-6-30,0.71
2007-3-31,0.22
2006-12-31,0.24
2006-9-30,0.18
2006-6-30,-0.13
2006-3-31,0.22
2005-12-31,0.11
2005-9-30,0.01
2005-6-30,0.07
2005-3-31,0.34
2004-12-31,0.14
2004-9-30,0.19
