Date,EPS 
2017-1-31,1.22
2016-10-31,0.98
2016-7-31,1.21
2016-4-30,0.98
2016-1-31,1.44
2015-10-31,1.03
2015-7-31,1.08
2015-4-30,1.03
2015-1-31,1.54
2014-10-31,1.15
2014-7-31,1.26
2014-4-30,1.11
2014-1-31,1.36
2013-10-31,1.14
2013-7-31,1.24
2013-4-30,1.14
2013-1-31,1.67
2012-10-31,1.08
2012-7-31,1.18
2012-4-30,1.09
2012-1-31,1.5
2011-10-31,0.96
2011-7-31,1.09
2011-4-30,0.97
2011-1-31,1.68
2010-10-31,0.95
2010-7-31,0.97
2010-4-30,0.87
2010-1-31,1.24
2009-10-31,0.81
2009-7-31,0.89
2009-4-30,0.77
2009-1-31,0.96
2008-10-31,0.8
2008-7-31,0.87
2008-4-30,0.76
2008-1-31,1.02
2007-10-31,0.7
2007-7-31,0.72
2007-4-30,0.68
2007-1-31,0.95
2006-10-31,0.63
2006-7-31,0.5
2006-4-30,0.63
2006-1-31,0.86
2005-10-31,0.57
2005-7-31,0.67
2005-4-30,0.58
2005-1-31,0.75
2004-10-31,0.54
