Date,EPS 
2016-12-31,1.52
2016-9-30,1.78
2016-6-30,1.39
2016-3-31,0.84
2015-12-31,1.21
2015-9-30,1.61
2015-6-30,1.33
2015-3-31,1.0
2014-12-31,0.67
2014-9-30,1.64
2014-6-30,1.2
2014-3-31,0.69
2013-12-31,0.66
2013-9-30,1.4
2013-6-30,0.98
2013-3-31,0.19
2012-12-31,0.59
2012-9-30,1.11
2012-6-30,0.88
2012-3-31,0.21
2011-12-31,0.39
2011-9-30,1.08
2011-6-30,0.67
2011-3-31,0.41
2010-12-31,0.43
2010-9-30,0.84
2010-6-30,0.51
2010-3-31,0.27
2009-12-31,0.4
2009-9-30,0.57
2009-6-30,0.39
2009-3-31,0.25
2008-12-31,-7.64
2008-9-30,0.8
2008-6-30,0.55
2008-3-31,0.24
2007-12-31,0.58
2007-9-30,0.65
2007-6-30,0.52
2007-3-31,0.45
2006-12-31,0.47
2006-9-30,0.45
2006-6-30,0.37
2006-3-31,0.14
2005-12-31,0.45
2005-9-30,0.6
2005-6-30,0.44
