Date,EPS 
2016-12-31,0.42
2016-9-30,-0.14
2016-6-30,-2.91
2016-3-31,-2.0
2015-12-31,-6.78
2015-9-30,-8.21
2015-6-30,-6.47
2015-3-31,-4.84
2014-12-31,0.84
2014-9-30,1.65
2014-6-30,1.7
2014-3-31,1.59
2013-12-31,2.35
2013-9-30,1.59
2013-6-30,1.49
2013-3-31,1.04
2012-12-31,1.14
2012-9-30,0.97
2012-6-30,0.74
2012-3-31,1.23
2011-12-31,1.36
2011-9-30,1.49
2011-6-30,1.94
2011-3-31,1.37
2010-12-31,1.37
2010-9-30,1.5
2010-6-30,1.46
2010-3-31,2.39
2009-12-31,1.28
2009-9-30,0.46
2009-6-30,0.46
2009-3-31,-6.05
2008-12-31,-13.03
2008-9-30,-2.85
2008-6-30,2.68
2008-3-31,1.76
2007-12-31,1.53
2007-9-30,0.87
2007-6-30,0.93
2007-3-31,0.77
2006-12-31,0.7
2006-9-30,1.11
2006-6-30,0.98
2006-3-31,1.29
2005-12-31,2.27
2005-9-30,0.76
2005-6-30,0.98
2005-3-31,1.0
2004-12-31,1.12
2004-9-30,0.91
