Date,EPS 
2016-12-31,0.41
2016-9-30,0.63
2016-6-30,0.41
2016-3-31,0.43
2015-12-31,0.67
2015-9-30,1.01
2015-6-30,1.0
2015-3-31,1.17
2014-12-31,1.56
2014-9-30,1.89
2014-6-30,2.05
2014-3-31,2.1
2013-12-31,1.91
2013-9-30,1.79
2013-6-30,1.55
2013-3-31,2.12
2012-12-31,2.2
2012-9-30,2.09
2012-6-30,3.41
2012-3-31,2.0
2011-12-31,1.97
2011-9-30,2.13
2011-6-30,2.18
2011-3-31,2.14
2010-12-31,1.85
2010-9-30,1.44
2010-6-30,1.6
2010-3-31,1.33
2009-12-31,1.27
2009-9-30,0.98
2009-6-30,0.81
2009-3-31,0.92
2008-12-31,1.57
2008-9-30,2.85
2008-6-30,2.22
2008-3-31,2.02
2007-12-31,2.1
2007-9-30,1.7
2007-6-30,1.83
2007-3-31,1.62
2006-12-31,1.76
2006-9-30,1.77
2006-6-30,1.72
2006-3-31,1.37
2005-12-31,1.71
2005-9-30,1.58
2005-6-30,1.2
2005-3-31,1.22
2004-12-31,1.3
2004-9-30,0.88
