Date,EPS 
2016-12-31,0.46
2016-9-30,0.39
2016-6-30,0.44
2016-3-31,0.7
2015-12-31,0.41
2015-9-30,0.59
2015-6-30,0.31
2015-3-31,0.45
2014-12-31,0.59
2014-9-30,0.52
2014-6-30,0.62
2014-3-31,0.5
2013-12-31,0.51
2013-9-30,0.55
2013-6-30,0.6
2013-3-31,0.49
2012-12-31,0.88
2012-9-30,0.37
2012-6-30,0.56
2012-3-31,0.37
2011-12-31,0.28
2011-9-30,0.42
2011-6-30,0.52
2011-3-31,0.48
2010-12-31,0.47
2010-9-30,0.44
2010-6-30,0.49
2010-3-31,0.41
2009-12-31,0.5
2009-9-30,0.45
2009-6-30,0.47
2009-3-31,0.41
2008-12-31,0.47
2008-9-30,0.44
2008-6-30,0.52
2008-3-31,0.45
2007-12-31,0.45
2007-9-30,0.42
2007-6-30,0.42
2007-3-31,0.38
2006-12-31,0.41
2006-9-30,0.31
2006-6-30,0.37
2006-3-31,0.31
2005-12-31,0.0
2005-9-30,-0.39
2005-6-30,0.35
2005-3-31,0.3
2004-12-31,0.42
2004-9-30,0.285
