Date,EPS 
2016-9-30,1.12
2016-6-30,0.5813
2016-3-31,0.6674
2015-12-31,0.4521
2015-9-30,0.6818
2015-6-30,0.3804
2015-3-31,0.5813
2014-12-31,-0.1292
2014-9-30,0.6387
2014-6-30,0.5239
2014-3-31,0.6244
2013-12-31,0.5024
2013-9-30,0.2368
2013-6-30,0.4378
2013-3-31,0.5167
2012-12-31,0.5239
2012-9-30,0.7177
2012-6-30,0.4952
2012-3-31,0.689
2011-12-31,0.5382
2011-9-30,0.5741
2011-6-30,0.4665
2011-3-31,0.3875
2010-12-31,0.4019
2010-9-30,0.5311
2010-6-30,0.4234
2010-3-31,0.3588
2009-12-31,0.3229
2009-9-30,0.4952
2009-6-30,0.4521
2009-3-31,0.3301
2008-12-31,0.3086
2008-9-30,0.4162
2008-6-30,0.3229
2008-3-31,0.3588
2007-12-31,0.3158
2007-9-30,0.3588
2007-6-30,0.2799
2007-3-31,0.2512
2006-12-31,0.2942
2006-9-30,0.3014
2006-6-30,0.244
2006-3-31,0.2117
2005-12-31,0.2763
2005-9-30,0.2476
2005-6-30,0.2117
2005-3-31,0.1794
2004-12-31,0.2727
2004-9-30,0.2189
2004-6-30,0.2081
