Date,EPS 
2016-12-31,0.6
2016-9-30,0.57
2016-6-30,0.44
2016-3-31,0.38
2015-12-31,0.43
2015-9-30,0.41
2015-6-30,-0.01
2015-3-31,0.37
2014-12-31,0.32
2014-9-30,0.4
2014-6-30,0.56
2014-3-31,0.41
2013-12-31,-0.32
2013-9-30,1.12
2013-6-30,0.3
2013-3-31,0.48
2012-12-31,0.2
2012-9-30,0.34
2012-6-30,0.3
2012-3-31,0.14
2011-12-31,0.24
2011-9-30,0.35
2011-6-30,0.16
2011-3-31,0.08
2010-12-31,-0.61
2010-9-30,-0.47
2010-6-30,-0.84
2010-3-31,-0.57
2009-12-31,-1.05
2009-9-30,-1.43
2009-6-30,-0.21
2009-3-31,-7.47
2008-12-31,-4.62
2008-9-30,0.31
2008-6-30,0.65
2008-3-31,0.97
2007-12-31,0.41
2007-9-30,1.22
2007-6-30,1.43
2007-3-31,1.36
2006-12-31,1.32
2006-9-30,1.42
2006-6-30,1.35
2006-3-31,1.28
2005-12-31,1.32
2005-9-30,1.34
2005-6-30,1.3
2005-3-31,1.2
2004-12-31,1.16
2004-9-30,1.13
